prov_code,dc_code,muni_code,name,miif_category
EC,BUF,BUF,Buffalo City,METRO
EC,DC10,EC101,Dr Beyers Naude,B3
EC,DC10,EC102,Blue Crane Route,B3
EC,DC10,EC104,Makana,B2
EC,DC10,EC105,Ndlambe,B3
EC,DC10,EC106,Sundays River Valley,B3
EC,DC10,EC108,Kouga,B3
EC,DC10,EC109,Kou-Kamma,B3
EC,DC12,EC121,Mbhashe,B4
EC,DC12,EC122,Mnquma,B4
EC,DC12,EC123,Great Kei,B3
EC,DC12,EC124,Amahlathi,B3
EC,DC12,EC126,Ngqushwa,B4
EC,DC12,EC129,Raymond Mhlaba,B3
EC,DC13,EC131,Inxuba Yethemba,B3
EC,DC13,EC135,Intsika Yethu,B4
EC,DC13,EC136,Emalahleni,B4
EC,DC13,EC137,Engcobo,B4
EC,DC13,EC138,Sakhisizwe,B3
EC,DC13,EC139,Enoch Mgijima,B2
EC,DC14,EC141,Elundini,B4
EC,DC14,EC142,Senqu,B4
EC,DC14,EC145,Walter Sisulu,B3
EC,DC15,EC153,Ngquza Hill,B4
EC,DC15,EC154,Port St Johns,B4
EC,DC15,EC155,Nyandeni,B4
EC,DC15,EC156,Mhlontlo,B4
EC,DC15,EC157,King Sabata Dalindyebo,B2
EC,DC44,EC441,Matatiele,B3
EC,DC44,EC442,Umzimvubu,B4
EC,DC44,EC443,Winnie Madikizela-Mandela,B4
EC,DC44,EC444,Ntabankulu,B4
EC,NMA,NMA,Nelson Mandela Bay,METRO
FS,DC16,FS161,Letsemeng,B3
FS,DC16,FS162,Kopanong,B3
FS,DC16,FS163,Mohokare,B3
FS,DC18,FS181,Masilonyana,B3
FS,DC18,FS182,Tokologo,B3
FS,DC18,FS183,Tswelopele,B3
FS,DC18,FS184,Matjhabeng,B1
FS,DC18,FS185,Nala,B3
FS,DC19,FS191,Setsoto,B3
FS,DC19,FS192,Dihlabeng,B2
FS,DC19,FS193,Nketoana,B3
FS,DC19,FS194,Maluti a Phofung,B3
FS,DC19,FS195,Phumelela,B3
FS,DC19,FS196,Mantsopa,B3
FS,DC20,FS201,Moqhaka,B2
FS,DC20,FS203,Ngwathe,B3
FS,DC20,FS204,Metsimaholo,B2
FS,DC20,FS205,Mafube,B3
FS,MAN,MAN,Mangaung,METRO
GP,EKU,EKU,Ekurhuleni,METRO
GP,DC42,GT421,Emfuleni,B1
GP,DC42,GT422,Midvaal,B2
GP,DC42,GT423,Lesedi,B3
GP,DC48,GT481,Mogale City,B1
GP,DC48,GT484,Merafong City,B2
GP,DC48,GT485,Rand West City,B2
